관서명,주소,Latitude,Longitude
신정1지구대,서울특별시 양천구  중앙로32길 65,37.5202891,126.8607933
신정2지구대,서울특별시 양천구 목동로17길 5,37.5244487,126.863509
신월2지구대,서울특별시 양천구 지양로 55,37.5197426,126.8349027
신월1파출소,서울특별시 양천구  남부순환로59길 8 ,37.5320806,126.8322435
신정3파출소,서울특별시 양천구  중앙로 205,37.5149133,126.8550058
신월5파출소,서울특별시 양천구  남부순환로31길 37,37.5390442,126.8306805
방이지구대,서울특별시 송파구  양재대로71길 5-6,37.5102514,127.1257318
잠실지구대,서울특별시 송파구  올림픽로 101,37.5120841,127.0821495
삼전지구대,서울특별시 송파구  백제고분로 238,37.5027107,127.0927721
가락지구대,서울특별시 송파구  중대로 179,37.4979534,127.124438
문정지구대,서울특별시 송파구 충민로2길 18,37.4782023,127.1269954
마천파출소,서울특별시 송파구  마천로 41길 8,37.4969882,127.1482966
거여파출소,서울특별시 송파구 새말로15길 9,37.4851827,127.128881
풍납파출소,서울특별시 송파구  토성로 64,37.5287255,127.1168629
오금파출소,서울특별시 송파구  마천로8길 17,37.5068859,127.1280993
신천파출소,서울특별시 송파구  올림픽로35길 12 ,37.5201652,127.1123922
위례파출소,서울특별시 송파구 위례순환로 369,37.4778753,127.1458547
당현지구대,서울특별시 노원구  노원로17길 64번지,37.6420263,127.0683655
월계지구대,서울특별시 노원구  월계로55길 58,37.6336663,127.0592758
화랑지구대,서울특별시 노원구  동일로 1034,37.6225423,127.0745497
노원역지구대,서울특별시 노원구 노원로431,37.6550066,127.0669434
불암지구대,서울특별시 노원구  한글비석로 277,37.6524287,127.0773287
마들지구대,서울특별시 노원구  한글비석로 489 마들지구대,37.6645128,127.0635938
당고개파출소,서울특별시 노원구  상계로35길 29(임시청사),37.6714827,127.0778607
상계1파출소,서울특별시 노원구  동일로 1693,37.6796671,127.0550431
남태령지구대,서울특별시 서초구  동작대로 34,37.4795145,126.982147
서래파출소,서울특별시 서초구  신반포로 16길 15-14,37.5015562,126.9980944
이수파출소,서울특별시 서초구  동광로19길 38,37.4941411,126.9888281
방배1파출소,서울특별시 서초구  효령로 31길 64,37.4839725,126.9953204
불광지구대,서울특별시 은평구  연서로 290,37.62146,126.9265859
연신내지구대,서울특별시 은평구  갈현로 195,37.6151923,126.9127048
진관파출소,서울특별시 은평구  진관3로 38 진관파출소,37.6367356,126.9183299
대조파출소,서울특별시 은평구  통일로 737,37.6111425,126.9289875
창동지구대,서울특별시 도봉구 노해로 392,37.6522878,127.0517221
신창파출소,서울특별시 도봉구  도봉로104길 49-5,37.6435218,127.0345748
방학파출소,서울특별시 도봉구  도봉로145길 45 방학파출소,37.6644651,127.0399956
신방학파출소,서울특별시 도봉구  시루봉로5길 10,37.6585014,127.0271436
도봉1파출소,서울특별시 도봉구  도봉로169길 43 도봉1파출소,37.679666,127.043351
도봉2파출소,서울특별시 도봉구 도봉로 180나길 33,37.6839868,127.0492833
쌍문파출소,서울특별시 도봉구  방학로3길 132,37.6575676,127.0380293
숭미파출소,서울특별시 도봉구  노해로 139 숭미파출소,37.6474873,127.0255867
도곡지구대,서울특별시 강남구  언주로 426,37.5055798,127.0414738
대치지구대,서울특별시 강남구  삼성로 203,37.4947493,127.0624809
수서파출소,서울특별시 강남구  밤고개로1길 48,37.4891379,127.1047973
대왕파출소,서울특별시 강남구  헌릉로 623,37.4651386,127.107375
일원지구대,서울특별시 강남구  일원로3길 35 일원파출소,37.4923791,127.083378
개포지구대,서울특별시 강남구  개포로 261(1268),37.4806165,127.0501493
남포지구대,부산광역시 중구  해관로 19,35.1005387,129.0355547
영주파출소,부산광역시 중구  동영로 77,35.111902,129.0321898
부평파출소,부산광역시 중구  보수대로44번길 27,35.1029595,129.0237823
보수파출소,부산광역시 중구  흑교로 77,35.105969,129.023374
대청파출소,부산광역시 중구  중구로 103-1,35.1058671,129.0313789
내성지구대,부산광역시 동래구  동래로 109,35.2067636,129.0855541
충렬지구대,부산광역시 동래구  반송로 207,35.1996163,129.0971598
온천지구대,부산광역시 동래구  우장춘로 16,35.2091901,129.0703808
사직지구대,부산광역시 동래구  중앙대로1277번길 41,35.2007338,129.0755672
온천3파출소,부산광역시 동래구  석사북로 93,35.2057406,129.0660807
낙민파출소,부산광역시 동래구  온천천로 359,35.1937609,129.0925243
동삼지구대,부산광역시 영도구  태종로 618 동삼지구대,35.0783442,129.0732834
영선지구대,부산광역시 영도구  남항시장길 328,35.0877281,129.0429078
청학파출소,부산광역시 영도구  태종로 395,35.0919405,129.0662005
대교파출소,부산광역시 영도구  태종로 81(대교동2가),35.0919968,129.0410363
초량지구대,부산광역시 동구  초량상로 65번길2,35.1178487,129.0375185
수성지구대,부산광역시 동구  망양로 811,35.1348389,129.0435549
자성대파출소,부산광역시 동구  자성공원로 15,35.137404,129.0612447
좌천파출소,부산광역시 동구  중앙대로 491-4,35.1374772,129.0558825
범곡파출소,부산광역시 동구  범상로 10-1,35.1412686,129.0491718
양정지구대,부산광역시 부산진구  동평로 342,35.1744657,129.0625562
부전지구대,부산광역시 부산진구  부전로 185,35.1638184,129.0610996
서면지구대,부산광역시 부산진구  신암로 56,35.1470907,129.0554871
당감지구대,부산광역시 부산진구  당감로 17-1,35.1634992,129.0392312
성지지구대,부산광역시 부산진구  성지로113번길 27,35.1790052,129.051658
가야지구대,부산광역시 부산진구  가야공원로 10,35.1524741,129.0295135
부암지구대,부산광역시 부산진구  신천대로 283,35.1671938,129.0501345
범천1파출소,부산광역시 부산진구  중앙번영로 10,35.1447882,129.0602341
전포파출소,부산광역시 부산진구  전포대로 165,35.1514351,129.0650138
개금파출소,부산광역시 부산진구 백양대로208번길 137,35.1623735,129.0233559
송도지구대,부산광역시 서구 충무대로 84,35.0794048,129.0214779
구덕지구대,부산광역시 서구  보수대로 258-5,35.117078,129.0173717
충무지구대,부산광역시 서구  임시수도기념로 36,35.1034934,129.01796
아미파출소,부산광역시 서구  해돋이로 267,35.1003141,129.0161619
문현지구대,부산광역시 남구  전포대로 20번길 47,35.1389438,129.0697772
용호지구대,부산광역시 남구  분포로 1,35.1253732,129.1123906
대연지구대,부산광역시 남구  수영로 328,35.1378957,129.1019322
광남지구대,부산광역시 수영구  수영로554번길 52,35.1543621,129.115212
광민지구대,부산광역시 수영구  광안해변로295번길 22,35.1572837,129.1254038
못골파출소,부산광역시 남구 진남로 46번길 37,35.1397131,129.0901144
우암파출소,부산광역시 남구  우암로 170,35.1246395,129.0782239
용당파출소,부산광역시 남구 신선로 318,35.1145458,129.0957131
감만파출소,부산광역시 남구 우암로86,35.1182007,129.0807876
재송지구대,부산광역시 해운대구 해운대로161번길 17,35.1839301,129.1235073
우동지구대,부산광역시 해운대구  해운대로 398,35.167978,129.1394227
중동지구대,부산광역시 해운대구  좌동순환로433번길 32,35.1616801,129.1790965
좌동지구대,부산광역시 해운대구  좌동순환로 185,35.1778667,129.1764064
